Municípios,Código municipal,UF,domicílios
Dolcinópolis,3514205,SP,1142
Dom Aquino,5103601,MT,4043
Dom Basílio,2910107,BA,4522
Dom Bosco,3122470,MG,1967
Dom Cavati,3122504,MG,2654
Dom Eliseu,1502939,PA,16018
Dom Expedito Lopes,2203404,PI,2880
Dom Feliciano,4306502,RS,6745
Dom Inocêncio,2203453,PI,4516
Dom Joaquim,3122603,MG,2484
Dom Macedo Costa,2910206,BA,2153
Dom Pedrito,4306601,RS,17110
Dom Pedro,2103802,MA,9015
Dom Pedro de Alcântara,4306551,RS,1453
Dom Silvério,3122702,MG,2446
Dom Viçoso,3122801,MG,1637
Domingos Martins,3201902,ES,19831
Domingos Mourão,2203420,PI,1859
Dona Emma,4205100,SC,1742
Dona Euzébia,3122900,MG,2797
Dona Francisca,4306700,RS,1456
Dona Inês,2505709,PB,4873
Dores de Campos,3123007,MG,4530
Dores de Guanhães,3123106,MG,2334
Dores do Indaiá,3123205,MG,7182
Dores do Rio Preto,3202009,ES,3261
Dores do Turvo,3123304,MG,2542
Doresópolis,3123403,MG,843
Dormentes,2605152,PE,8277
Douradina,4107256,PR,4005
Douradina,5003504,MS,2334
Dourado,3514304,SP,4039
Douradoquara,3123502,MG,1121
Dourados,5003702,MS,103076
Doutor Camargo,4107306,PR,3296
Doutor Maurício Cardoso,4306734,RS,2542
Doutor Pedrinho,4205159,SC,1719
Doutor Ricardo,4306759,RS,927
Doutor Severiano,2403202,RN,2870
Doutor Ulysses,4128633,PR,3017
Doverlândia,5207253,GO,3812
Dracena,3514403,SP,20547
Duartina,3514502,SP,6060
Duas Barras,3301603,RJ,5502
Duas Estradas,2505808,PB,1563
Dueré,1707306,TO,2349
Dumont,3514601,SP,3809
Duque Bacelar,2103901,MA,3217
Duque de Caxias,3301702,RJ,355031
Durandé,3123528,MG,3435
Echaporã,3514700,SP,2883
Ecoporanga,3202108,ES,11936
Edealina,5207352,GO,2281
Edéia,5207402,GO,5582
Eirunepé,1301407,AM,9680
Eldorado,3514809,SP,6566
Eldorado,5003751,MS,5059
Eldorado do Carajás,1502954,PA,12326
Eldorado do Sul,4306767,RS,18785
Elesbão Veloso,2203503,PI,6433
Elias Fausto,3514908,SP,7471
Eliseu Martins,2203602,PI,2184
Elisiário,3514924,SP,1434
Elísio Medrado,2910305,BA,4118
Elói Mendes,3123601,MG,12621
Emas,2505907,PB,1356
Embaúba,3514957,SP,1144
Embu das Artes,3515004,SP,101302
Embu-Guaçu,3515103,SP,29901
Emilianópolis,3515129,SP,1530
Encantado,4306809,RS,10323
Encanto,2403301,RN,2579
Encruzilhada,2910404,BA,9789
Encruzilhada do Sul,4306908,RS,12905
Enéas Marques,4107405,PR,2679
Engenheiro Beltrão,4107504,PR,5914
Engenheiro Caldas,3123700,MG,5135
Engenheiro Coelho,3515152,SP,8526
Engenheiro Navarro,3123809,MG,3348
Engenheiro Paulo de Frontin,3301801,RJ,6593
Engenho Velho,4306924,RS,498
Entre Folhas,3123858,MG,2518
Entre Rios,2910503,BA,23385
Entre Rios,4205175,SC,1347
Entre Rios de Minas,3123908,MG,7544
Entre Rios do Oeste,4107538,PR,1852
Entre Rios do Sul,4306957,RS,1316
Entre-Ijuís,4306932,RS,4789
Envira,1301506,AM,4877
Epitaciolândia,1200252,AC,8125
Equador,2403400,RN,2762
Erebango,4306973,RS,1242
Erechim,4307005,RS,49073
Ereré,2304277,CE,2989
Érico Cardoso,2900504,BA,4209
Ermo,4205191,SC,937
Ernestina,4307054,RS,2138
Erval Grande,4307203,RS,2559
Erval Seco,4307302,RS,3141
Erval Velho,4205209,SC,2362
Ervália,3124005,MG,9926
Escada,2605202,PE,25714
Esmeralda,4307401,RS,1866
Esmeraldas,3124104,MG,48355
Espera Feliz,3124203,MG,11875
Esperança,2506004,PB,13964
Esperança do Sul,4307450,RS,1567
Esperança Nova,4107520,PR,916
Esperantina,1707405,TO,3213
Esperantina,2203701,PI,16255
Esperantinópolis,2104008,MA,6968
Espigão Alto do Iguaçu,4107546,PR,2051
Espigão D'Oeste,1100098,RO,13173
Espinosa,3124302,MG,13975
Espírito Santo,2403509,RN,4391
Espírito Santo do Dourado,3124401,MG,2872
Espírito Santo do Pinhal,3515186,SP,17042
Espírito Santo do Turvo,3515194,SP,1853
Esplanada,2910602,BA,14938
Espumoso,4307500,RS,6492
Estação,4307559,RS,2422
Estância,2802106,SE,32868
Estância Velha,4307609,RS,20138
Esteio,4307708,RS,33170
Estiva,3124500,MG,5657
Estiva Gerbi,3557303,SP,4559
Estreito,2104057,MA,14127
Estrela,4307807,RS,14528
Estrela d'Oeste,3515202,SP,4016
Estrela Dalva,3124609,MG,1367
Estrela de Alagoas,2702553,AL,7516
Estrela do Indaiá,3124708,MG,1952
Estrela do Norte,3515301,SP,1258
Estrela do Norte,5207501,GO,1562
Estrela do Sul,3124807,MG,3767
Estrela Velha,4307815,RS,1367
Euclides da Cunha,2910701,BA,27943
Euclides da Cunha Paulista,3515350,SP,3756
Eugênio de Castro,4307831,RS,1403
Eugenópolis,3124906,MG,5659
Eunápolis,2910727,BA,51024
Eusébio,2304285,CE,29417
Ewbank da Câmara,3125002,MG,1892
Extrema,3125101,MG,23141
Extremoz,2403608,RN,32161
Exu,2605301,PE,15077
Fagundes,2506103,PB,5358
Fagundes Varela,4307864,RS,1129
Faina,5207535,GO,3954
Fama,3125200,MG,1799
Faria Lemos,3125309,MG,1650
Farias Brito,2304301,CE,8656
Faro,1503002,PA,2667
Farol,4107553,PR,1357
Farroupilha,4307906,RS,31754
Fartura,3515400,SP,7777
Fartura do Piauí,2203750,PI,2350
Fátima,1707553,TO,1499
Fátima,2910750,BA,9175
Fátima do Sul,5003801,MS,9398
Faxinal,4107603,PR,7316
Faxinal do Soturno,4308003,RS,2968
Faxinal dos Guedes,4205308,SC,4576
Faxinalzinho,4308052,RS,1248
Fazenda Nova,5207600,GO,3707
Fazenda Rio Grande,4107652,PR,57907
Fazenda Vilanova,4308078,RS,2078
Feijó,1200302,AC,11467
Feira da Mata,2910776,BA,3163
Feira de Santana,2910800,BA,288378
Feira Grande,2702603,AL,9372
Feira Nova,2605400,PE,9844
Feira Nova,2802205,SE,2930
Feira Nova do Maranhão,2104073,MA,2980
Felício dos Santos,3125408,MG,2687
Felipe Guerra,2403707,RN,2578
Felisburgo,3125606,MG,3169
Felixlândia,3125705,MG,10992
Feliz,4308102,RS,6272
Feliz Deserto,2702702,AL,1872
Feliz Natal,5103700,MT,4125
Fênix,4107702,PR,2104
Fernandes Pinheiro,4107736,PR,2629
Fernandes Tourinho,3125804,MG,1464
Fernando de Noronha,2605459,PE,1137
Fernando Falcão,2104081,MA,3313
Fernando Pedroza,2403756,RN,1333
Fernando Prestes,3515608,SP,2805
Fernandópolis,3515509,SP,33231
Fernão,3515657,SP,852
Ferraz de Vasconcelos,3515707,SP,69683
Ferreira Gomes,1600238,AP,2764
Ferreiros,2605509,PE,6048
Ferros,3125903,MG,5186
Fervedouro,3125952,MG,4737
Figueira,4107751,PR,3633
Figueirão,5003900,MS,1863
Figueirópolis,1707652,TO,2494
Figueirópolis D'Oeste,5103809,MT,1752
Filadélfia,1707702,TO,3186
Filadélfia,2910859,BA,8134
Firmino Alves,2910909,BA,2459
Firminópolis,5207808,GO,4870
Flexeiras,2702801,AL,4027
Flor da Serra do Sul,4107850,PR,1907
Flor do Sertão,4205357,SC,804
Flora Rica,3515806,SP,833
Floraí,4107801,PR,2407
Florânia,2403806,RN,4263
Floreal,3515905,SP,1514
Flores,2605608,PE,11292
Flores da Cunha,4308201,RS,13933
Flores de Goiás,5207907,GO,5171
Flores do Piauí,2203800,PI,2261
Floresta,2605707,PE,12553
Floresta,4107900,PR,4892
Floresta Azul,2911006,BA,4875
Floresta do Araguaia,1503044,PA,8732
Floresta do Piauí,2203859,PI,1222
Florestal,3126000,MG,4829
Florestópolis,4108007,PR,5138
Floriano,2203909,PI,26074
Floriano Peixoto,4308250,RS,900
Florianópolis,4205407,SC,285000
Flórida,4108106,PR,1246
Flórida Paulista,3516002,SP,4857
Florínea,3516101,SP,1624
Fonte Boa,1301605,AM,6053
Fontoura Xavier,4308300,RS,4749
Formiga,3126109,MG,34705
Formigueiro,4308409,RS,3316
Formosa,5208004,GO,50308
Formosa da Serra Negra,2104099,MA,6645
Formosa do Oeste,4108205,PR,3631
Formosa do Rio Preto,2911105,BA,11392
Formosa do Sul,4205431,SC,1032
Formoso,3126208,MG,3720
Formoso,5208103,GO,2410
Formoso do Araguaia,1708205,TO,8415
Forquetinha,4308433,RS,1360
Forquilha,2304350,CE,9511
Forquilhinha,4205456,SC,11853
Fortaleza,2304400,CE,1034611
Fortaleza de Minas,3126307,MG,2071
Fortaleza dos Nogueiras,2104107,MA,4870
Fortaleza dos Valos,4308458,RS,2191
Fortim,2304459,CE,7741
Fortuna,2104206,MA,6505
Fortuna de Minas,3126406,MG,1824
Foz do Iguaçu,4108304,PR,116648
Foz do Jordão,4108452,PR,2401
Fraiburgo,4205506,SC,13631
Franca,3516200,SP,151152
Francinópolis,2204006,PI,2458
Francisco Alves,4108320,PR,3379
Francisco Ayres,2204105,PI,2178
Francisco Badaró,3126505,MG,4200
Francisco Beltrão,4108403,PR,41227
Francisco Dantas,2403905,RN,1341
Francisco Dumont,3126604,MG,2614
Francisco Macedo,2204154,PI,1381
Francisco Morato,3516309,SP,63313
Francisco Sá,3126703,MG,11505
Francisco Santos,2204204,PI,4438
Franciscópolis,3126752,MG,2467
Franco da Rocha,3516408,SP,56612
Frecheirinha,2304509,CE,7074
Frederico Westphalen,4308508,RS,15243
Frei Gaspar,3126802,MG,2835
Frei Inocêncio,3126901,MG,3963
Frei Lagonegro,3126950,MG,1524
Frei Martinho,2506202,PB,1554
Frei Miguelinho,2605806,PE,7255
Frei Paulo,2802304,SE,6504
Frei Rogério,4205555,SC,997
Fronteira,3127008,MG,7751
Fronteira dos Vales,3127057,MG,2051
Fronteiras,2204303,PI,5032
Fruta de Leite,3127073,MG,2738
Frutal,3127107,MG,28235
Frutuoso Gomes,2404002,RN,1977
Fundão,3202207,ES,11274
Funilândia,3127206,MG,3171
Gabriel Monteiro,3516507,SP,1341
Gado Bravo,2506251,PB,3892
Gália,3516606,SP,3119
Galiléia,3127305,MG,3521
Galinhos,2404101,RN,866
Galvão,4205605,SC,1337
Gameleira,2605905,PE,7748
Gameleira de Goiás,5208152,GO,2077
Gameleiras,3127339,MG,2964
Gandu,2911204,BA,13844
Garanhuns,2606002,PE,61356
Gararu,2802403,SE,5718
Garça,3516705,SP,18107
Garibaldi,4308607,RS,15423
Garopaba,4205704,SC,18367
Garrafão do Norte,1503077,PA,9944
Garruchos,4308656,RS,1536
Garuva,4205803,SC,7610
Gaspar,4205902,SC,28849
Gastão Vidigal,3516804,SP,1726
Gaúcha do Norte,5103858,MT,3434
Gaurama,4308706,RS,2695
Gavião,2911253,BA,2454
Gavião Peixoto,3516853,SP,2063
Geminiano,2204352,PI,2703
General Câmara,4308805,RS,4488
General Carneiro,4108502,PR,4698
General Carneiro,5103908,MT,2751
General Maynard,2802502,SE,1441
General Salgado,3516903,SP,5027
General Sampaio,2304608,CE,3020
Gentil,4308854,RS,763
Gentio do Ouro,2911303,BA,5417
Getulina,3517000,SP,4409
Getúlio Vargas,4308904,RS,7694
Gilbués,2204402,PI,4567
Girau do Ponciano,2702900,AL,13980
Giruá,4309001,RS,7033
Glaucilândia,3127354,MG,1702
Glicério,3517109,SP,2782
Glória,2911402,BA,7574
Glória D'Oeste,5103957,MT,1656
Glória de Dourados,5004007,MS,4891
Glória do Goitá,2606101,PE,13426
Glorinha,4309050,RS,4656
Godofredo Viana,2104305,MA,3867
Godoy Moreira,4108551,PR,1582
Goiabeira,3127370,MG,1626
Goiana,2606200,PE,41466
Goianá,3127388,MG,2356
Goianápolis,5208400,GO,5650
Goiandira,5208509,GO,2721
Goianésia,5208608,GO,30189
Goianésia do Pará,1503093,PA,10964
Goiânia,5208707,GO,655531
Goianinha,2404200,RN,9904
Goianira,5208806,GO,29363
Goianorte,1708304,TO,2274
Goiás,5208905,GO,14220
Goiatins,1709005,TO,4787
Goiatuba,5209101,GO,16696
Goioerê,4108601,PR,12319
Goioxim,4108650,PR,2910
Gonçalves,3127404,MG,3354
Gonçalves Dias,2104404,MA,6796
Gongogi,2911501,BA,2845
Gonzaga,3127503,MG,2403
Gouveia,3127602,MG,5341
Gouvelândia,5209150,GO,2353
Governador Archer,2104503,MA,3569
Governador Celso Ramos,4206009,SC,12912
Governador Dix-Sept Rosado,2404309,RN,5661
Governador Edison Lobão,2104552,MA,8633
Governador Eugênio Barros,2104602,MA,5190
Governador Jorge Teixeira,1101005,RO,4039
Governador Lindenberg,3202256,ES,4980
Governador Luiz Rocha,2104628,MA,2885
Governador Mangabeira,2911600,BA,9180
Governador Newton Bello,2104651,MA,3423
Governador Nunes Freire,2104677,MA,8559
Governador Valadares,3127701,MG,125248
Graça,2304657,CE,6473
Graça Aranha,2104701,MA,2533
Gracho Cardoso,2802601,SE,3072
Grajaú,2104800,MA,28279
Gramado,4309100,RS,24248
Gramado dos Loureiros,4309126,RS,928
Gramado Xavier,4309159,RS,1578
Grandes Rios,4108700,PR,2816
Granito,2606309,PE,3122
Granja,2304707,CE,23704
Granjeiro,2304806,CE,2019
Grão Mogol,3127800,MG,7214
Grão-Pará,4206108,SC,2669
Gravatá,2606408,PE,49982
Gravataí,4309209,RS,119363
Gravatal,4206207,SC,5631
Groaíras,2304905,CE,4896
Grossos,2404408,RN,4407
Grupiara,3127909,MG,777
Guabiju,4309258,RS,653
Guabiruba,4206306,SC,9545
Guaçuí,3202306,ES,13566
Guadalupe,2204501,PI,4171
Guaíba,4309308,RS,41073
Guaiçara,3517208,SP,5310
Guaimbê,3517307,SP,2548
Guaíra,3517406,SP,16982
Guaíra,4108809,PR,13812
Guairaçá,4108908,PR,2831
Guaiúba,2304954,CE,9668
Guajará,1301654,AM,4424
Guajará-Mirim,1100106,RO,15954
Guajeru,2911659,BA,3687
Guamaré,2404507,RN,6486
Guamiranga,4108957,PR,3313
Guanambi,2911709,BA,40669
Guanhães,3128006,MG,15314
Guapé,3128105,MG,7863
Guapiaçu,3517505,SP,8871
Guapiara,3517604,SP,8298
Guapimirim,3301850,RJ,25681
Guapirama,4109005,PR,2147
Guapó,5209200,GO,8973
Guaporé,4309407,RS,11124
Guaporema,4109104,PR,1018
Guará,3517703,SP,7891
Guarabira,2506301,PB,24270
Guaraçaí,3517802,SP,3796
Guaraci,3517901,SP,5625
Guaraci,4109203,PR,2155
Guaraciaba,3128204,MG,4875
Guaraciaba,4206405,SC,4575
Guaraciaba do Norte,2305001,CE,17013
Guaraciama,3128253,MG,2721
Guaraí,1709302,TO,10321
Guaraíta,5209291,GO,1346
Guaramiranga,2305100,CE,3389
Guaramirim,4206504,SC,17928
Guaranésia,3128303,MG,8582
Guarani,3128402,MG,3914
Guarani d'Oeste,3518008,SP,1015
Guarani das Missões,4309506,RS,3272
Guarani de Goiás,5209408,GO,2090
Guaraniaçu,4109302,PR,6730
Guarantã,3518107,SP,2970
Guarantã do Norte,5104104,MT,13148
Guarapari,3202405,ES,85970
Guarapuava,4109401,PR,76563
Guaraqueçaba,4109500,PR,4488
Guarará,3128501,MG,1497
Guararapes,3518206,SP,13820
Guararema,3518305,SP,15282
Guaratinga,2911808,BA,10775
Guaratinguetá,3518404,SP,51098
Guaratuba,4109609,PR,35797
Guarda-Mor,3128600,MG,3344
Guareí,3518503,SP,5993
Guariba,3518602,SP,15218
Guaribas,2204550,PI,1945
Guarinos,5209457,GO,1267
Guarujá,3518701,SP,160396
Guarujá do Sul,4206603,SC,2209
Guarulhos,3518800,SP,515164
Guatambú,4206652,SC,3676
Guatapará,3518859,SP,3372
Guaxupé,3128709,MG,23096
Guia Lopes da Laguna,5004106,MS,4885
Guidoval,3128808,MG,3813
Guimarães,2104909,MA,4577
Guimarânia,3128907,MG,3531
Guiratinga,5104203,MT,5885
Guiricema,3129004,MG,4091
Gurinhatã,3129103,MG,3702
Gurinhém,2506400,PB,5809
Gurjão,2506509,PB,1570
Gurupá,1503101,PA,8645
Gurupi,1709500,TO,36801
Guzolândia,3518909,SP,2068
Harmonia,4309555,RS,2344
Heitoraí,5209606,GO,2721
Heliodora,3129202,MG,2927
Heliópolis,2911857,BA,6207
Herculândia,3519006,SP,3999
Herval,4307104,RS,3871
Herval d'Oeste,4206702,SC,9144
Herveiras,4309571,RS,1237
Hidrolândia,2305209,CE,8332
Hidrolândia,5209705,GO,12199
Hidrolina,5209804,GO,1806
Holambra,3519055,SP,5978
Honório Serpa,4109658,PR,2240
Horizonte,2305233,CE,31342
Horizontina,4309605,RS,8413
Hortolândia,3519071,SP,94245
Hugo Napoleão,2204600,PI,1736
Hulha Negra,4309654,RS,2974
Humaitá,1301704,AM,16571
Humaitá,4309704,RS,2175
Humberto de Campos,2105005,MA,9833
Iacanga,3519105,SP,5432
Iaciara,5209903,GO,4729
Iacri,3519204,SP,2815
Iaçu,2911907,BA,13485
Iapu,3129301,MG,5128
Iaras,3519253,SP,2240
Iati,2606507,PE,7692
Ibaiti,4109708,PR,12922
Ibarama,4309753,RS,1717
Ibaretama,2305266,CE,5255
Ibaté,3519303,SP,12675
Ibateguara,2703007,AL,6067
Ibatiba,3202454,ES,11337
Ibema,4109757,PR,2716
Ibertioga,3129400,MG,2491
Ibiá,3129509,MG,10828
Ibiaçá,4309803,RS,2107
Ibiaí,3129608,MG,3277
Ibiam,4206751,SC,854
Ibiapina,2305308,CE,9717
Ibiara,2506608,PB,2804
Ibiassucê,2912004,BA,4884
Ibicaraí,2912103,BA,10769
Ibicaré,4206801,SC,1574
Ibicoara,2912202,BA,8699
Ibicuí,2912301,BA,7225
Ibicuitinga,2305332,CE,5176
Ibimirim,2606606,PE,11406
Ibipeba,2912400,BA,8404
Ibipitanga,2912509,BA,6915
Ibiporã,4109807,PR,23227
Ibiquera,2912608,BA,2030
Ibirá,3519402,SP,5568
Ibiracatu,3129657,MG,2700
Ibiraci,3129707,MG,5938
Ibiraçu,3202504,ES,5119
Ibiraiaras,4309902,RS,2974
Ibirajuba,2606705,PE,3683
Ibirama,4206900,SC,8288
Ibirapitanga,2912707,BA,10369
Ibirapuã,2912806,BA,4317
Ibirapuitã,4309951,RS,1888
Ibirarema,3519501,SP,3051
Ibirataia,2912905,BA,8957
Ibirité,3129806,MG,67182
Ibirubá,4310009,RS,9228
Ibitiara,2913002,BA,7332
Ibitinga,3519600,SP,26695
Ibitirama,3202553,ES,4599
Ibititá,2913101,BA,7974
Ibitiúra de Minas,3129905,MG,1674
Ibituruna,3130002,MG,1305
Ibiúna,3519709,SP,47213
Ibotirama,2913200,BA,12207
Icapuí,2305357,CE,11076
Içara,4207007,SC,23767
Icaraí de Minas,3130051,MG,4256
Icaraíma,4109906,PR,4440
Icatu,2105104,MA,8411
Icém,3519808,SP,3253
Ichu,2913309,BA,3020
Icó,2305407,CE,28823
Iconha,3202603,ES,5685
Ielmo Marinho,2404606,RN,4987
Iepê,3519907,SP,3719
Igaci,2703106,AL,10892
Igaporã,2913408,BA,6495
Igaraçu do Tietê,3520004,SP,9270
Igaracy,2502607,PB,2908
Igarapava,3520103,SP,12017
Igarapé,3130101,MG,22197
Igarapé do Meio,2105153,MA,4656
Igarapé Grande,2105203,MA,3862
Igarapé-Açu,1503200,PA,14608
Igarapé-Miri,1503309,PA,19842
Igarassu,2606804,PE,51071
Igaratá,3520202,SP,6933
Igaratinga,3130200,MG,4942
Igrapiúna,2913457,BA,6573
Igreja Nova,2703205,AL,9090
Igrejinha,4310108,RS,15137
Iguaba Grande,3301876,RJ,21396
Iguaí,2913507,BA,10577
Iguape,3520301,SP,18069
Iguaraçu,4110003,PR,2634
Iguaracy,2606903,PE,5892
Iguatama,3130309,MG,4064
Iguatemi,5004304,MS,6366
Iguatu,2305506,CE,44117
Iguatu,4110052,PR,1000
Ijaci,3130408,MG,3275
Ijuí,4310207,RS,37185
Ilha Comprida,3520426,SP,16151
Ilha das Flores,2802700,SE,3497
Ilha de Itamaracá,2607604,PE,25210
Ilha Grande,2204659,PI,3271
Ilha Solteira,3520442,SP,12163
Ilhabela,3520400,SP,19015
Ilhéus,2913606,BA,96056
Ilhota,4207106,SC,6892
Ilicínea,3130507,MG,5870
Ilópolis,4310306,RS,1791
Imaculada,2506707,PB,4599
Imaruí,4207205,SC,7305
Imbaú,4110078,PR,5360
Imbé,4310330,RS,32449
Imbé de Minas,3130556,MG,3466
Imbituba,4207304,SC,31117
Imbituva,4110102,PR,11723
Imbuia,4207403,SC,2678
Imigrante,4310363,RS,1404
Imperatriz,2105302,MA,110137
Inácio Martins,4110201,PR,4211
Inaciolândia,5209937,GO,2867
Inajá,2607000,PE,8477
Inajá,4110300,PR,1221
Inconfidentes,3130606,MG,3769
Indaiabira,3130655,MG,3348
Indaial,4207502,SC,29447
Indaiatuba,3520509,SP,102177
Independência,2305605,CE,11381
Independência,4310405,RS,2943
Indiana,3520608,SP,2432
Indianópolis,3130705,MG,3387
Indianópolis,4110409,PR,2093
Indiaporã,3520707,SP,2367
Indiara,5209952,GO,7203
Indiaroba,2802809,SE,6993
Indiavaí,5104500,MT,1056
Ingá,2506806,PB,8068
Ingaí,3130804,MG,1377
Ingazeira,2607109,PE,2358
Inhacorá,4310413,RS,944
Inhambupe,2913705,BA,16734
Inhangapi,1503408,PA,4068
Inhapi,2703304,AL,6696
Inhapim,3130903,MG,11994
Inhaúma,3131000,MG,3359
Inhuma,2204709,PI,7163
Inhumas,5210000,GO,23718
Inimutaba,3131109,MG,4123
Inocência,5004403,MS,4408
Inúbia Paulista,3520806,SP,1549
Iomerê,4207577,SC,1399
Ipaba,3131158,MG,7312
Ipameri,5210109,GO,12563
Ipanema,3131208,MG,9557
Ipanguaçu,2404705,RN,5590
Ipaporanga,2305654,CE,5448
Ipatinga,3131307,MG,97613
Ipaumirim,2305704,CE,5541
Ipaussu,3520905,SP,5889
Ipê,4310439,RS,3084
Ipecaetá,2913804,BA,5693
Iperó,3521002,SP,14529
Ipeúna,3521101,SP,3413
Ipiaçu,3131406,MG,1981
Ipiaú,2913903,BA,18780
Ipiguá,3521150,SP,3108
Ipira,4207601,SC,2288
Ipirá,2914000,BA,29457
Ipiranga,4110508,PR,5923
Ipiranga de Goiás,5210158,GO,1572
Ipiranga do Norte,5104526,MT,3088
Ipiranga do Piauí,2204808,PI,4225
Ipiranga do Sul,4310462,RS,783
Ipixuna,1301803,AM,5149
Ipixuna do Pará,1503457,PA,11017
Ipojuca,2607208,PE,50374
Iporá,5210208,GO,17243
Iporã,4110607,PR,6845
Iporã do Oeste,4207650,SC,3731
Iporanga,3521200,SP,2259
Ipu,2305803,CE,17798
Ipuã,3521309,SP,6395
Ipuaçu,4207684,SC,2900
Ipubi,2607307,PE,12361
Ipueira,2404804,RN,997
Ipueiras,1709807,TO,867
Ipueiras,2305902,CE,18039
Ipuiúna,3131505,MG,4089
Ipumirim,4207700,SC,3101
Ipupiara,2914109,BA,5061
Iracema,1400282,RR,3727
Iracema,2306009,CE,6066
Iracema do Oeste,4110656,PR,982
Iracemápolis,3521408,SP,8449
Iraceminha,4207759,SC,1683
Iraí,4310504,RS,3527
Iraí de Minas,3131604,MG,3332
Irajuba,2914208,BA,3284
Iramaia,2914307,BA,5193
Iranduba,1301852,AM,29204
Irani,4207809,SC,4330
Irapuã,3521507,SP,3145
Irapuru,3521606,SP,2956
Iraquara,2914406,BA,11717
Irará,2914505,BA,13655
Irati,4110706,PR,24578
Irati,4207858,SC,885
Irauçuba,2306108,CE,9690
Irecê,2914604,BA,31512
Iretama,4110805,PR,4675
Irineópolis,4207908,SC,4190
Irituia,1503507,PA,11840
Irupi,3202652,ES,6039
Isaías Coelho,2204907,PI,3675
Israelândia,5210307,GO,1457
Itá,4208005,SC,3245
Itaara,4310538,RS,3383
Itabaiana,2506905,PB,10685
Itabaiana,2802908,SE,44394
Itabaianinha,2803005,SE,17052
Itabela,2914653,BA,12598
Itaberá,3521705,SP,8250
Itaberaba,2914703,BA,31126
Itaberaí,5210406,GO,19479
Itabi,2803104,SE,2667
Itabira,3131703,MG,49294
Itabirinha,3131802,MG,4870
Itabirito,3131901,MG,24488
Itaboraí,3301900,RJ,111118
Itabuna,2914802,BA,93345
Itacajá,1710508,TO,2798
Itacambira,3132008,MG,2079
Itacarambi,3132107,MG,7117
Itacaré,2914901,BA,14513
Itacoatiara,1301902,AM,35124
Itacuruba,2607406,PE,1950
Itacurubi,4310553,RS,1690
Itaeté,2915007,BA,7061
Itagi,2915106,BA,6001
Itagibá,2915205,BA,7185
Itagimirim,2915304,BA,3253
Itaguaçu,3202702,ES,6539
Itaguaçu da Bahia,2915353,BA,6372
Itaguaí,3302007,RJ,57725
Itaguajé,4110904,PR,2290
Itaguara,3132206,MG,7227
Itaguari,5210562,GO,2391
Itaguaru,5210604,GO,2607
Itaguatins,1710706,TO,2691
Itaí,3521804,SP,11737
Itaíba,2607505,PE,12059
Itaiçaba,2306207,CE,3944
Itainópolis,2205003,PI,5630
Itaiópolis,4208104,SC,9367
Itaipava do Grajaú,2105351,MA,4919
Itaipé,3132305,MG,4837
Itaipulândia,4110953,PR,4590
Itaitinga,2306256,CE,24423
Itaituba,1503606,PA,46002
Itajá,2404853,RN,3130
Itajá,5210802,GO,2362
Itajaí,4208203,SC,107166
Itajobi,3521903,SP,7431
Itaju,3522000,SP,2492
Itaju do Colônia,2915403,BA,3148
Itajubá,3132404,MG,40425
Itajuípe,2915502,BA,9480
Italva,3302056,RJ,6691
Itamaraju,2915601,BA,28348
Itamarandiba,3132503,MG,15398
Itamarati,1301951,AM,2819
Itamarati de Minas,3132602,MG,1874
Itamari,2915700,BA,3617
Itambacuri,3132701,MG,9694
Itambaracá,4111001,PR,2816
Itambé,2607653,PE,14041
Itambé,2915809,BA,9965
Itambé,4111100,PR,2861
Itambé do Mato Dentro,3132800,MG,1537
Itamogi,3132909,MG,5307
Itamonte,3133006,MG,7245
Itanagra,2915908,BA,3575
Itanhaém,3522109,SP,93037
Itanhandu,3133105,MG,6636
Itanhangá,5104542,MT,2946
Itanhém,2916005,BA,9062
Itanhomi,3133204,MG,5649
Itaobim,3133303,MG,8653
Itaoca,3522158,SP,1712
Itaocara,3302106,RJ,11961
Itapaci,5210901,GO,9210
Itapagipe,3133402,MG,6785
Itapajé,2306306,CE,19441
Itaparica,2916104,BA,16090
Itapé,2916203,BA,4892
Itapebi,2916302,BA,4721
Itapecerica,3133501,MG,11401
Itapecerica da Serra,3522208,SP,65136
Itapecuru Mirim,2105401,MA,24831
Itapejara d'Oeste,4111209,PR,5108
Itapema,4208302,SC,51829
Itapemirim,3202801,ES,22122
Itaperuçu,4111258,PR,11864
Itaperuna,3302205,RJ,49275
Itapetim,2607703,PE,8305
Itapetinga,2916401,BA,28998
Itapetininga,3522307,SP,66763
Itapeva,3133600,MG,6485
Itapeva,3522406,SP,38540
Itapevi,3522505,SP,91082
Itapicuru,2916500,BA,16785
Itapipoca,2306405,CE,53600
Itapira,3522604,SP,30942
Itapiranga,1302009,AM,3429
Itapiranga,4208401,SC,6776
Itapirapuã,5211008,GO,4526
Itapirapuã Paulista,3522653,SP,2029
Itapiratins,1710904,TO,1703
Itapissuma,2607752,PE,9539
Itapitanga,2916609,BA,3759
Itapiúna,2306504,CE,7550
Itapoá,4208450,SC,26791
Itápolis,3522703,SP,18405
Itaporã,5004502,MS,9457
Itaporã do Tocantins,1711100,TO,1117
Itaporanga,2507002,PB,10854
Itaporanga,3522802,SP,6980
Itaporanga d'Ajuda,2803203,SE,18682
Itapororoca,2507101,PB,7421
Itapuã do Oeste,1101104,RO,4116
Itapuca,4310579,RS,901
